"","date","fed","stock","market","trump","bank","rate","big","cramer","share","new","year","ceo","job","investor","high","apple","hike","tax","earning","rise","report","facebook","china","growth","analyst","trade","street","economy","good","buy","wall","plan","time","amazon","fall","company","hit","bitcoin","dollar","low","tech","yellen","expect","rally","price","iphone","central","early","start","cut","billion","datum","deal","economic","update","need","google","week","bond","ed","policy","oil","business","inflation","mover","sale","op","look","beat","raise","million","like","strategist","trader","sell","goldman","want","twitter","hour","global","fund","ahead","surge","jump","change","gold","chair","come","watch","drop","gain","ecb","day","yield","Date","Open","High","Low","Close","Adj.Close","Volume","Date_prev","pre_close","Rise"
"197","12-Jul-16",10,10,3,0,4,10,0,1,9,8,2,1,8,1,4,0,7,0,2,2,3,1,0,1,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,4,3,1,0,2,4,0,1,0,0,2,0,0,0,3,0,0,12,0,0,0,0,2,0,6,0,1,3,0,0,4,0,0,1,2,0,1,0,0,1,1,1,0,1,2,1,0,0,1,0,0,1,"2016-07-13",18356.779297,18390.160156,18315.759766,18372.119141,18372.119141,80920000,"12-Jul-16",18347.669922,"True"
"198","12-Jul-17",92,24,28,12,17,55,3,14,7,9,6,0,6,11,9,15,24,3,0,6,6,3,8,0,10,14,6,10,2,10,8,4,19,11,0,1,3,1,6,22,12,86,0,6,2,10,2,2,3,2,2,5,6,2,0,11,4,2,4,113,8,3,2,21,2,5,28,6,0,5,11,23,11,8,5,0,0,0,1,10,13,5,3,9,0,10,37,0,5,1,0,0,7,2,"2017-07-13",21537.189453,21568.720703,21512.359375,21553.089844,21553.089844,232270000,"12-Jul-17",21532.140625,"True"
"199","12-Jun-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2016-06-13",17830.5,17893.279297,17731.349609,17732.480469,17732.480469,101690000,"12-Jun-16",17865.339844,"False"
"200","12-Jun-17",0,11,9,7,9,0,7,2,10,8,4,4,5,4,3,14,0,0,0,3,2,3,2,2,8,0,3,0,0,7,3,0,2,2,0,0,5,9,2,2,11,0,2,0,1,6,0,2,2,4,3,0,0,0,0,0,0,4,0,7,0,1,1,2,2,0,13,5,0,3,0,4,0,0,7,1,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,3,0,"2017-06-13",21256.830078,21332.769531,21256.830078,21328.470703,21328.470703,323510000,"12-Jun-17",21235.669922,"True"
"201","12-Mar-17",5,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"2017-03-13",20899.279297,20926.060547,20845.710938,20881.480469,20881.480469,289260000,"12-Mar-17",20902.980469,"False"
"202","12-May-16",0,9,10,1,0,3,5,4,11,5,7,0,7,0,5,3,0,0,5,4,4,3,0,0,0,1,2,2,2,0,0,0,0,3,9,0,2,0,0,5,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,4,0,4,0,1,0,0,1,1,7,2,6,0,0,3,3,1,0,1,1,0,2,0,1,0,2,2,0,2,0,0,0,0,1,0,1,0,"2016-05-13",17711.119141,17734.740234,17512.480469,17535.320313,17535.320313,86640000,"12-May-16",17720.5,"False"
"203","12-Nov-17",11,1,0,0,1,9,4,0,2,0,8,0,0,3,1,0,9,5,0,3,0,0,2,0,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,13,1,0,0,8,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,"2017-11-13",23367.470703,23461.679688,23343.339844,23439.699219,23439.699219,491260000,"12-Nov-17",23422.210938,"True"
"204","12-Oct-16",16,8,7,3,4,7,0,3,4,0,0,2,4,2,0,1,3,2,2,4,0,0,2,0,3,0,0,0,2,2,0,2,3,1,7,2,0,0,0,5,0,0,5,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,3,2,0,9,0,0,2,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,"2016-10-13",18088.320313,18137.699219,17959.949219,18098.939453,18098.939453,83160000,"12-Oct-16",18144.199219,"False"
"205","12-Oct-17",20,25,17,27,27,7,12,9,11,6,7,17,4,8,7,5,0,27,13,8,10,11,5,4,12,6,13,6,10,1,6,7,10,12,6,0,5,5,3,10,9,0,9,4,10,0,2,1,0,11,14,8,6,2,3,2,0,1,5,42,0,2,6,2,0,1,30,4,13,2,0,9,2,2,0,5,9,6,2,3,0,2,0,2,0,6,5,4,3,7,4,0,9,3,"2017-10-13",22876.429688,22905.330078,22855.929688,22871.720703,22871.720703,259560000,"12-Oct-17",22841.009766,"True"
"206","12-Sep-16",23,4,7,11,1,9,1,3,3,2,2,1,0,4,0,1,4,3,0,5,2,0,2,5,0,2,2,0,3,3,2,0,1,0,0,0,0,0,0,6,4,2,0,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,30,0,1,2,0,2,0,7,2,0,1,0,0,0,0,3,2,0,0,1,0,0,1,0,0,0,2,0,4,0,2,1,0,10,0,"2016-09-13",18262.990234,18262.990234,18028.060547,18066.75,18066.75,102830000,"12-Sep-16",18325.070313,"False"
