"","date","PRON","fed","stock","market","trump","bank","rate","big","cramer","share","new","year","ceo","job","investor","high","apple","hike","tax","earning","rise","report","facebook","china","growth","analyst","trade","street","economy","good","buy","wall","plan","time","amazon","fall","company","hit","bitcoin","dollar","low","tech","yellen","expect","rally","price","iphone","central","early","start","cut","billion","datum","deal","economic","update","need","google","week","bond","ed","policy","oil","business","inflation","mover","sale","op","look","beat","raise","million","like","strategist","trader","sell","goldman","want","twitter","hour","global","fund","ahead","surge","jump","change","gold","chair","come","watch","drop","gain","ecb","day","yield"
"289"," 8 Dec 2017",37,1,16,7,9,25,2,12,20,0,0,1,0,24,6,6,11,3,5,0,6,16,0,2,6,1,2,2,24,16,10,2,3,2,4,2,2,0,37,0,0,10,0,9,3,0,6,5,0,2,4,0,0,2,1,2,0,2,2,3,10,0,0,0,0,0,3,26,7,4,4,0,10,2,0,2,0,0,1,1,10,0,0,4,4,1,0,0,0,0,5,0,0,5,3
"290"," 8 Feb 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291"," 8 Feb 2016",5,3,4,5,0,6,0,0,2,0,1,2,1,0,2,0,0,0,2,0,0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,8,0,2,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"292"," 8 Feb 2017",12,0,4,1,11,12,9,1,2,9,0,2,7,0,1,2,1,0,4,2,5,1,2,2,2,4,4,0,0,0,1,0,0,3,0,6,0,7,0,3,6,0,0,0,1,2,0,7,3,2,4,4,0,0,2,0,0,0,2,0,11,4,3,1,7,2,2,5,1,0,0,0,3,1,2,0,2,0,2,1,0,0,0,0,1,2,2,0,0,1,0,1,0,4,2
"293"," 8 Jan 2014",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294"," 8 Jan 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"295"," 8 Jan 2016",14,1,6,4,0,0,8,1,3,0,2,0,0,19,3,2,0,3,1,1,3,13,0,4,0,0,4,0,2,1,1,0,1,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,6,0,1,0,0,2,0,2,0,1,0,1,4,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,2,1,1,0,0,3,0
"296"," 8 Jan 2017",4,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297"," 8 Jan 2018",34,14,19,15,6,11,7,6,5,7,8,6,4,2,14,5,9,5,20,2,0,5,5,13,4,8,4,2,1,1,1,3,4,2,2,5,4,6,6,5,0,8,0,4,3,0,6,3,2,7,1,3,0,8,4,6,1,3,2,0,33,0,1,1,0,0,11,17,1,1,2,0,1,0,0,12,4,3,1,2,1,1,4,1,2,0,6,0,1,0,0,8,0,2,3
"298"," 8 July 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"299"," 8 July 2016",22,3,1,11,0,1,14,2,5,10,3,1,0,24,0,6,0,9,0,5,2,12,4,0,7,2,4,2,0,4,0,2,0,2,0,0,1,5,0,1,7,0,0,6,0,3,0,0,2,1,0,3,8,4,0,0,0,1,0,1,11,0,7,0,0,2,0,3,0,4,0,1,2,0,1,0,4,0,0,0,0,1,3,0,4,1,11,0,1,0,0,5,0,0,0
"300"," 8 July 2017",13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"301"," 8 June 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302"," 8 June 2016",8,1,6,4,1,1,2,1,6,4,0,0,4,2,2,3,1,0,0,0,5,2,0,4,3,0,4,2,2,1,3,0,0,1,0,2,2,2,0,0,0,2,0,3,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,12,0,5,2,1,1,0,9,6,4,0,4,0,0,4,0,0,6,1,1,2,1,1,0,2,2,0,0,0,1,0,0,0,1,1
"303"," 8 June 2017",32,0,9,12,4,1,12,4,11,6,3,1,0,9,5,4,6,2,4,0,2,2,0,0,3,0,2,4,1,2,5,4,2,2,0,5,6,0,1,2,7,4,0,0,1,2,3,0,2,0,5,0,2,0,0,0,2,0,0,0,21,4,1,6,11,2,1,7,3,0,0,2,5,0,0,0,1,0,0,1,1,0,0,1,0,8,1,0,11,5,0,0,30,3,0
"304"," 8 March 2014",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"305"," 8 March 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"306"," 8 March 2016",8,0,5,6,2,2,3,1,4,1,1,0,0,2,1,5,0,1,0,0,4,0,0,0,0,0,3,0,4,3,3,0,2,0,0,0,0,1,0,1,6,2,0,0,3,3,0,0,2,0,1,0,0,2,0,0,1,2,0,2,2,0,5,0,0,2,0,5,0,0,1,0,2,1,1,0,3,0,1,2,0,0,1,0,0,0,7,0,0,1,0,1,0,2,3
"307"," 8 March 2017",39,14,14,10,15,2,24,2,8,13,0,8,2,7,1,5,3,8,1,6,6,6,0,1,4,0,7,0,6,3,2,0,1,5,0,2,0,8,0,2,12,0,2,4,0,1,2,0,1,3,4,0,2,2,3,0,2,4,8,4,24,1,6,3,2,3,4,9,2,6,8,0,4,4,4,0,0,0,0,2,0,1,0,0,2,0,2,0,5,2,2,4,3,10,0
"308"," 8 May 2016",0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"309"," 8 May 2017",16,26,19,19,7,2,18,3,2,6,6,3,1,0,10,2,2,10,2,1,1,0,2,2,0,0,0,3,3,0,4,3,0,2,8,0,4,1,0,0,16,2,0,1,0,3,0,0,1,2,2,3,0,3,4,0,2,8,0,3,42,0,2,0,0,1,0,15,1,2,0,0,1,0,0,5,6,1,0,2,2,4,1,0,2,1,6,0,0,1,0,2,0,6,0
"310"," 8 Nov 2016",8,2,3,4,3,0,2,3,2,0,4,0,0,5,3,2,1,0,0,0,1,3,7,0,0,3,1,1,0,1,2,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,8,0,0,0,2,1,1,10,0,0,0,2,2,2,0,1,2,0,3,5,0,0,0,0,0,2,2,0,3,0,0,0,0,3,0
